pickup_zone,borough,pickup_count,avg_fare,zone_category
Newark Airport,EWR,4,67.87,"High Potential (Low demand, High fare)"
Rikers Island,Bronx,40,50.22,"High Potential (Low demand, High fare)"
Breezy Point/Fort Tilden/Riis Beach,Queens,6392,40.51,"High Potential (Low demand, High fare)"
Financial District South,Manhattan,291765,39.55,"High Potential (Low demand, High fare)"
Governor's Island/Ellis Island/Liberty Island,Manhattan,19,38.12,"High Potential (Low demand, High fare)"
Flushing Meadows-Corona Park,Queens,73487,37.19,"High Potential (Low demand, High fare)"
Battery Park,Manhattan,11464,35.33,"High Potential (Low demand, High fare)"
Seaport,Manhattan,253307,34.54,"High Potential (Low demand, High fare)"
City Island,Bronx,23663,34.40,"High Potential (Low demand, High fare)"
Randalls Island,Manhattan,26934,34.15,"High Potential (Low demand, High fare)"
Willets Point,Queens,3883,33.84,"High Potential (Low demand, High fare)"
Central Park,Manhattan,168947,32.36,"High Potential (Low demand, High fare)"
Jamaica Bay,Queens,271,31.92,"High Potential (Low demand, High fare)"
Roosevelt Island,Manhattan,79986,31.85,"High Potential (Low demand, High fare)"
Marine Park/Floyd Bennett Field,Brooklyn,9968,30.34,"High Potential (Low demand, High fare)"
Rockaway Park,Queens,77708,29.83,"High Potential (Low demand, High fare)"
Red Hook,Brooklyn,237112,28.53,"High Potential (Low demand, High fare)"
Rossville/Woodrow,Staten Island,32643,28.45,"High Potential (Low demand, High fare)"
Broad Channel,Queens,6037,28.40,"High Potential (Low demand, High fare)"
Brooklyn Navy Yard,Brooklyn,100212,28.02,"High Potential (Low demand, High fare)"
Chinatown,Manhattan,297730,27.97,"High Potential (Low demand, High fare)"
Charleston/Tottenville,Staten Island,53704,27.75,"High Potential (Low demand, High fare)"
Cobble Hill,Brooklyn,189323,27.20,"High Potential (Low demand, High fare)"
Stuy Town/Peter Cooper Village,Manhattan,243027,26.73,"High Potential (Low demand, High fare)"
Riverdale/North Riverdale/Fieldston,Bronx,254228,26.69,"High Potential (Low demand, High fare)"
Manhattan Valley,Manhattan,337002,26.52,"High Potential (Low demand, High fare)"
Eltingville/Annadale/Prince's Bay,Staten Island,57439,26.48,"High Potential (Low demand, High fare)"
Carroll Gardens,Brooklyn,293940,26.25,"High Potential (Low demand, High fare)"
Glen Oaks,Queens,113557,26.11,"High Potential (Low demand, High fare)"
Hammels/Arverne,Queens,198737,25.89,"High Potential (Low demand, High fare)"
Douglaston,Queens,80959,25.75,"High Potential (Low demand, High fare)"
Alphabet City,Manhattan,349012,25.58,"High Potential (Low demand, High fare)"
Bay Terrace/Fort Totten,Queens,87017,25.58,"High Potential (Low demand, High fare)"
Columbia Street,Brooklyn,71978,25.56,"High Potential (Low demand, High fare)"
Arden Heights,Staten Island,35036,25.49,"High Potential (Low demand, High fare)"
Outside of NYC,N/A,4883,25.43,"High Potential (Low demand, High fare)"
Bloomingdale,Manhattan,163533,25.35,"High Potential (Low demand, High fare)"
Bronx Park,Bronx,48419,25.35,"High Potential (Low demand, High fare)"
Oakwood,Staten Island,43372,25.25,"High Potential (Low demand, High fare)"
Great Kills Park,Staten Island,228,25.00,"High Potential (Low demand, High fare)"
Windsor Terrace,Brooklyn,188208,24.84,"High Potential (Low demand, High fare)"
Heartland Village/Todt Hill,Staten Island,124806,24.78,"High Potential (Low demand, High fare)"
Oakland Gardens,Queens,95897,24.71,"High Potential (Low demand, High fare)"
Great Kills,Staten Island,84636,24.48,"High Potential (Low demand, High fare)"
College Point,Queens,179383,23.82,"High Potential (Low demand, High fare)"
Long Island City/Queens Plaza,Queens,302017,23.66,"High Potential (Low demand, High fare)"
Freshkills Park,Staten Island,2925,23.65,"High Potential (Low demand, High fare)"
Far Rockaway,Queens,281458,23.61,"High Potential (Low demand, High fare)"
Coney Island,Brooklyn,335587,23.53,"High Potential (Low demand, High fare)"
Inwood Hill Park,Manhattan,35211,23.44,"High Potential (Low demand, High fare)"
